seqnames	start	end	width	strand	peak	feature	feature.ranges.start	feature.ranges.end	feature.ranges.width	feature.strand	distance	insideFeature	distanceToSite	symbol
chr1	762048	762071	24	*	X0001	643837	762971	794826	31856	+	899	upstream	899	LINC01128
chr1	762937	763002	66	*	X0002	643837	762971	794826	31856	+	0	overlapStart	0	LINC01128
chr1	762937	763002	66	*	X0002	79854	761586	762902	1317	-	34	upstream	34	LINC00115
chr1	894601	894632	32	*	X0006	339451	895967	901099	5133	+	1334	upstream	1334	KLHL17
chr1	894601	894632	32	*	X0006	26155	879583	894679	15097	-	0	inside	46	NOC2L
chr1	948638	948742	105	*	X0008	9636	948847	949919	1073	+	104	upstream	104	ISG15
chr1	954916	954958	43	*	X0011	375790	955503	991499	35997	+	544	upstream	544	AGRN
chr1	1150722	1150811	90	*	X0018	7293	1146706	1149548	2843	-	1173	upstream	1173	TNFRSF4
chr1	1209397	1209599	203	*	X0023	118424	1189292	1209234	19943	-	162	upstream	162	UBE2J2
chr1	1209863	1209874	12	*	X0024	118424	1189292	1209234	19943	-	628	upstream	628	UBE2J2
chr1	1243000	1243089	90	*	X0026	126789	1243994	1247057	3064	+	904	upstream	904	PUSL1
chr1	1243195	1243214	20	*	X0027	126789	1243994	1247057	3064	+	779	upstream	779	PUSL1
chr1	1259593	1259709	117	*	X0029	80772	1260143	1264276	4134	+	433	upstream	433	CPTP
chr1	1260184	1260265	82	*	X0030	80772	1260143	1264276	4134	+	0	inside	40	CPTP
chr1	1260184	1260265	82	*	X0030	54973	1246965	1260067	13103	-	116	upstream	116	INTS11
chr1	1260310	1260414	105	*	X0031	80772	1260143	1264276	4134	+	0	inside	166	CPTP
chr1	1260310	1260414	105	*	X0031	54973	1246965	1260067	13103	-	242	upstream	242	INTS11
chr1	1285344	1285349	6	*	X0032	1855	1270658	1284492	13835	-	851	upstream	851	DVL1
chr1	1334266	1334385	120	*	X0034	148413	1334910	1337426	2517	+	524	upstream	524	MRPL20-AS1
chr1	1335755	1335874	120	*	X0035	81669	1321091	1334718	13628	-	1036	upstream	1036	CCNL2
chr1	1406509	1406516	8	*	X0037	83858	1407164	1444689	37526	+	647	upstream	647	ATAD3B
chr1	1446979	1447098	120	*	X0038	55210	1447523	1470067	22545	+	424	upstream	424	ATAD3A
chr1	1712999	1713133	135	*	X0044	65220	1682671	1711508	28838	-	1490	upstream	1490	NADK
chr1	1822775	1822862	88	*	X0052	2782	1716725	1822526	105802	-	248	upstream	248	GNB1
chr1	1822946	1823044	99	*	X0053	2782	1716725	1822526	105802	-	419	upstream	419	GNB1
chr1	1823165	1823299	135	*	X0054	2782	1716725	1822526	105802	-	638	upstream	638	GNB1
chr1	2323483	2323752	270	*	X0063	11079	2323214	2336885	13672	+	0	inside	268	RER1
chr1	2323483	2323752	270	*	X0063	79906	2252696	2322993	70298	-	489	upstream	489	MORN1
chr1	2343694	2343783	90	*	X0067	5192	2336241	2344010	7770	-	0	inside	226	PEX10
chr1	2344227	2344263	37	*	X0068	5192	2336241	2344010	7770	-	216	upstream	216	PEX10
chr1	2344909	2345028	120	*	X0069	5192	2336241	2344010	7770	-	898	upstream	898	PEX10
chr1	2457863	2457877	15	*	X0073	55229	2439975	2458035	18061	-	0	inside	157	PANK4
chr1	2486088	2486282	195	*	X0078	115110	2481359	2484284	2926	-	1803	upstream	1803	TNFRSF14-AS1
chr1	2486088	2486282	195	*	X0078	8764	2487805	2495267	7463	+	1522	upstream	1522	TNFRSF14
chr1	2486508	2486612	105	*	X0079	8764	2487805	2495267	7463	+	1192	upstream	1192	TNFRSF14
chr1	2486973	2487077	105	*	X0080	8764	2487805	2495267	7463	+	727	upstream	727	TNFRSF14
chr1	2487318	2487482	165	*	X0081	8764	2487805	2495267	7463	+	322	upstream	322	TNFRSF14
chr1	2488578	2488667	90	*	X0082	100133445	2486163	2488450	2288	-	127	upstream	127	NA
chr1	2517495	2517614	120	*	X0086	127281	2517899	2522908	5010	+	284	upstream	284	PRXL2B
chr1	2518110	2518152	43	*	X0087	127281	2517899	2522908	5010	+	0	inside	210	PRXL2B
chr1	3713231	3713330	100	*	X0099	57470	3696784	3713068	16285	-	162	upstream	162	LRRC47
chr1	3774387	3774566	180	*	X0100	9731	3728645	3773797	45153	-	589	upstream	589	CEP104
chr1	3816553	3816732	180	*	X0101	100133612	3816968	3833879	16912	+	235	upstream	235	LINC01134
chr1	3816553	3816732	180	*	X0101	339448	3805697	3816857	11161	-	0	inside	124	C1orf174
chr1	3816823	3816882	60	*	X0102	100133612	3816968	3833879	16912	+	85	upstream	85	LINC01134
chr1	3816823	3816882	60	*	X0102	339448	3805697	3816857	11161	-	0	overlapStart	0	C1orf174
chr1	3817439	3817573	135	*	X0103	339448	3805697	3816857	11161	-	581	upstream	581	C1orf174
chr1	3817724	3817963	240	*	X0104	339448	3805697	3816857	11161	-	866	upstream	866	C1orf174
chr1	6052056	6052158	103	*	X0105	8514	6052358	6161253	108896	+	199	upstream	199	KCNAB2
chr1	6052784	6052873	90	*	X0106	261734	5922870	6052533	129664	-	250	upstream	250	NPHP4
chr1	6052954	6053358	405	*	X0107	261734	5922870	6052533	129664	-	420	upstream	420	NPHP4
chr1	6053574	6053798	225	*	X0108	261734	5922870	6052533	129664	-	1040	upstream	1040	NPHP4
chr1	6054159	6054263	105	*	X0109	261734	5922870	6052533	129664	-	1625	upstream	1625	NPHP4
chr1	6265485	6265574	90	*	X0113	388591	6266189	6281359	15171	+	614	upstream	614	RNF207
chr1	6453578	6453586	9	*	X0123	11332	6324332	6453826	129495	-	0	inside	239	ACOT7
chr1	6453872	6453976	105	*	X0124	11332	6324332	6453826	129495	-	45	upstream	45	ACOT7
chr1	6640183	6640317	135	*	X0128	3104	6640056	6649340	9285	+	0	inside	126	ZBTB48
chr1	6640337	6640486	150	*	X0129	3104	6640056	6649340	9285	+	0	inside	280	ZBTB48
chr1	6662957	6663076	120	*	X0130	9903	6650779	6662929	12151	-	27	upstream	27	KLHL21
chr1	6673963	6674307	345	*	X0131	148479	6673756	6684093	10338	+	0	inside	206	PHF13
chr1	6844744	6844863	120	*	X0136	23261	6845384	7829766	984383	+	520	upstream	520	CAMTA1
chr1	8877300	8877419	120	*	X0158	473	8412464	8877699	465236	-	0	inside	279	RERE
chr1	8877585	8877734	150	*	X0159	473	8412464	8877699	465236	-	0	overlapStart	0	RERE
chr1	9189554	9189755	202	*	X0172	80045	9164476	9189229	24754	-	324	upstream	324	GPR157
chr1	9648865	9648956	92	*	X0183	199953	9648932	9674935	26004	+	0	overlapStart	0	TMEM201
chr1	9715402	9715641	240	*	X0193	644997	9712668	9714644	1977	-	757	upstream	757	PIK3CD-AS1
chr1	9969998	9970087	90	*	X0211	56998	9908334	9970316	61983	-	0	inside	228	CTNNBIP1
chr1	9970753	9970792	40	*	X0212	56998	9908334	9970316	61983	-	436	upstream	436	CTNNBIP1
chr1	10093060	10093284	225	*	X0213	10277	10093041	10241296	148256	+	0	inside	18	UBE4B
chr1	10459022	10459048	27	*	X0216	5226	10459085	10480201	21117	+	36	upstream	36	PGD
chr1	10532191	10532325	135	*	X0220	1676	10520603	10532613	12011	-	0	inside	287	DFFA
chr1	10534932	10535265	334	*	X0221	5195	10535003	10690815	155813	+	0	overlapStart	0	PEX14
chr1	11072269	11072301	33	*	X0231	23435	11072679	11085549	12871	+	377	upstream	377	TARDBP
chr1	11119965	11119979	15	*	X0237	6723	11114649	11120091	5443	-	0	inside	111	SRM
chr1	11120850	11120969	120	*	X0238	6723	11114649	11120091	5443	-	758	upstream	758	SRM
